,star_name,st_teff,st_lumclass,st_age,st_rad,st_mass,st_logg
275,HIP 104239 A,5221.0,MAINSEQ,6.6,0.8,0.88,4.59
276,HIP 104858 A,6238.0,MAINSEQ,,1.87,1.49,4.05
277,HIP 104887 A,6621.0,MAINSEQ,,2.53,1.86,3.54
278,HIP 105090,3901.0,MAINSEQ,,0.51,0.56,4.78
279,HIP 105199,7773.0,MAINSEQ,,2.46,2.15,3.45
280,HIP 105312 A,5354.0,MAINSEQ,,1.03,0.94,4.32
281,HIP 105858,6205.0,MAINSEQ,,1.07,1.12,4.42
282,HD 204941,5126.0,MAINSEQ,,0.71,0.74,
283,GJ 832,3601.0,MAINSEQ,,0.45,0.41,
284,HIP 107089,4769.0,GIANT,,6.19,2.1,
285,HIP 107310 A,6309.0,MAINSEQ,,2.01,1.57,3.86
286,HIP 107556,7301.0,,,1.81,1.72,3.66
287,HIP 107649,5889.0,MAINSEQ,5.16,1.08,1.02,4.41
288,eps Ind A,4683.0,MAINSEQ,,0.72,0.68,
289,HIP 108917 A,6964.0,MAINSEQ,,2.43,1.91,
290,HIP 109176,6442.0,MAINSEQ,,1.53,1.39,
291,GJ 849,3343.0,MAINSEQ,,0.55,0.42,
292,HIP 109427,8569.0,MAINSEQ,,2.38,2.34,3.86
293,HIP 109857,7283.0,MAINSEQ,,2.18,1.89,
294,HIP 110109,5837.0,MAINSEQ,,1.08,1.05,4.45
295,HIP 116771,6204.0,MAINSEQ,3.44,1.64,1.27,4.13
296,HIP 117712,4715.0,MAINSEQ,,0.93,0.79,4.46
297,HIP 6537,,,,,,
298,HIP 6686,,,,,,
299,HIP 10670,,,,,,
300,HIP 14668,,,,,,
301,HIP 18907,,,,,,
302,HIP 19747,,,,,,
303,HIP 27654,,,,,,
304,HIP 35350,,,,,,
305,HIP 36046,,,,,,
306,HIP 41312,,,,,,
307,HIP 45238,,,,,,
308,HIP 48319,,,,,,
309,HIP 50191,,,,,,
310,HIP 52727 A,,,,,,
311,HIP 63125,,,,,,
312,HIP 63608,,,,,,
313,HIP 67301,,,,,,
314,HIP 68895,,,,,,
315,HIP 69732,,,,,,
316,HIP 74395,,,,,,
317,HIP 74824,,,,,,
318,iot Dra,4530.0,,,,1.05,2.6
319,HIP 75695,,,,,,
320,HIP 79882,,,,,,
321,HIP 81833,,,,,,
322,HIP 87108,,,,,,
323,HIP 87585,,,,,,
324,HIP 90139,,,,,,
325,HIP 98495,,,,,,
326,HIP 109268,,,,,,
327,HIP 111169,,,,,,
328,HIP 112724,,,,,,
329,HIP 112748,,,,,,
330,HIP 113638,,,,,,
331,HIP 118268,,,,,,
332,HD 7449,6024.0,,,,1.05,4.51
333,HD 106515 A,5362.0,,11.7,1.62,0.97,4.41
334,HD 196067,6017.0,,3.3,1.73,1.29,4.24
335,GJ 317,3510.0,,5.0,,0.42,
336,HD 13931,5867.0,,,1.25,1.3,4.36
337,HD 38529,5541.0,,,2.56,1.41,3.77
338,HD 72659,5932.0,,,1.46,1.43,4.27
339,HD 89307,5955.0,,,1.1,1.27,4.46
340,HD 117207,5732.0,,4.192,1.07,1.05,4.37
341,HD 142022 A,5421.0,,,1.04,0.9,4.35
342,HD 169830,6299.0,,2.8,,1.4,4.1
343,HD 187123,5830.0,,,,1.0,
344,HD 220773,5940.0,,4.4,,1.16,4.24
345,HD 222155,5701.0,,,1.85,1.21,3.99
346,HIP 110960 A,6619.0,GIANT,,3.66,2.24,
347,HIP 112447,6204.0,MAINSEQ,4.52,1.89,1.22,4.0
348,HD 216437,5849.0,MAINSEQ,7.16,1.48,1.12,4.18
349,51 Peg,5787.0,MAINSEQ,6.76,1.15,1.05,4.36
350,Fomalhaut,8399.0,MAINSEQ,,1.92,2.05,4.14
351,HD 217107,5704.0,MAINSEQ,5.84,1.08,1.11,4.42
352,HIP 113576,4067.0,MAINSEQ,,0.58,0.62,4.73
353,HIP 114570,7176.0,MAINSEQ,,1.8,1.69,3.93
354,HD 219134,4835.0,MAINSEQ,12.46,0.77,0.79,4.59
355,HD 219077,5364.0,MAINSEQ,8.92,1.94,1.07,3.91
356,HIP 114996,6618.0,MAINSEQ,,2.57,1.87,3.82
357,HIP 116085,5133.0,MAINSEQ,11.6,0.88,0.84,4.49
358,HIP 116584,4636.0,GIANT,,7.83,2.3,2.79
359,gam Cep,4761.0,GIANT,,5.05,1.88,3.21
