,pl_name,hostname,pl_masse,pl_rade,pl_dens,pl_eqt,pl_orbper,img,orbit_img
184,TOI-1634 b,TOI-1634,4.91,1.79,4.7,924.0,0.989343,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1634_b_Spc.png
185,TOI-132 b,TOI-132,22.4,3.42,3.08,1395.0,2.1097019,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-132_b_Spc.png
186,TOI-157 b,TOI-157,,13.043,,1246.0,2.0845398,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-157_b_Spc.png
187,HD 207897 b,HD 207897,,2.45,,635.0,16.2016938,,http://www.exoplanetkyoto.org/exohtml/HD-207897_b_Spc.png
188,TOI-1710 b,TOI-1710,28.3,5.34,0.94,,24.283429,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1710_b_Spc.png
189,TOI-2048 b,TOI-2048,,2.602,,646.0,13.7905315,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-2048_b_Spc.png
190,TOI-1860 b,TOI-1860,,1.107,,1534.0,1.0662083,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1860_b_Spc.png
191,LHS 3844 b,LHS 3844,,1.354,,723.39615494,0.46288441,,http://www.exoplanetkyoto.org/exohtml/LHS-3844_b_Spc.png
195,TOI-905 b,TOI-905,,,,,3.739493,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-905_b_Spc.png
196,LTT 9779 b,LTT 9779,29.32,4.72,1.536,1978.0,0.792052,,http://www.exoplanetkyoto.org/exohtml/LTT-9779_b_Spc.png
197,TOI-1759 b,TOI-1759,10.8,3.14,1.91,443.0,18.85019,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1759_b_Spc.png
198,TOI-1478 b,TOI-1478,270.47333,11.882,0.88,918.0,10.180249,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1478_b_Spc.png
199,TOI-178 e,TOI-178,3.86,2.207,1.98,600.0,9.961881,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueNeptune.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-178_e_Spc.png
202,TOI-1685 b,TOI-1685,3.78,1.7,4.21,1069.0,0.6691403,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1685_b_Spc.png
204,AU Mic c,AU Mic,22.2,,3.66,,18.859019,,http://www.exoplanetkyoto.org/exohtml/AU-Mic_c_Spc.png
205,HR 858 c,HR 858,,2.392,,1198.74467288,5.97391245,,http://www.exoplanetkyoto.org/exohtml/HR-858_c_Spc.png
206,TOI-628 b,TOI-628,2011.8639,11.882,6.58,1586.0,3.4095675,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-628_b_Spc.png
208,LP 791-18 b,LP 791-18,,1.12,,650.0,0.948005,,http://www.exoplanetkyoto.org/exohtml/LP-791-18_b_Spc.png
210,HD 2685 b,HD 2685,371.8611,16.141,,2061.0,4.12688,,http://www.exoplanetkyoto.org/exohtml/HD-2685_b_Spc.png
216,TOI-201 b,TOI-201,133.4886,11.299,,759.0,52.97818,http://www.exoplanetkyoto.org/exohtml/Planets/ColdRedJupiter.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-201_b_Spc.png
217,TOI-1807 b,TOI-1807,,1.539,,1706.0,0.54937,http://www.exoplanetkyoto.org/exohtml/Planets/DeepBlueWhite.bmp,http://www.exoplanetkyoto.org/exohtml/TOI-1807_b_Spc.png
